City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,WeatherDesc,Date
189,Los Llanos De Aridane,28.6585,-17.9182,58.75,83,20,3.0,ES,few clouds,2022-03-13 01:03:04
190,Gazli,40.1333,63.45,53.98,72,100,10.76,UZ,overcast clouds,2022-03-13 01:03:04
191,Surt,31.2089,16.5887,55.69,64,100,13.62,LY,overcast clouds,2022-03-13 01:03:05
192,Castro,-24.7911,-50.0119,61.25,98,100,7.45,BR,overcast clouds,2022-03-13 01:03:05
193,Waingapu,-9.6567,120.2641,84.02,72,98,3.49,ID,moderate rain,2022-03-13 01:03:05
194,Ewa Beach,21.3156,-158.0072,81.99,48,5,20.0,US,clear sky,2022-03-13 01:03:06
195,Emerald,-23.5333,148.1667,81.34,49,6,17.05,AU,clear sky,2022-03-13 01:03:06
196,Colares,38.7992,-9.4469,55.76,77,33,20.0,PT,scattered clouds,2022-03-13 01:03:06
197,Mitsamiouli,-11.3847,43.2844,80.17,73,100,3.06,KM,overcast clouds,2022-03-13 01:03:07
198,Leningradskiy,69.3833,178.4167,3.79,88,8,6.87,RU,clear sky,2022-03-13 01:03:07
199,Wanaka,-44.7,169.15,68.11,55,19,1.99,NZ,few clouds,2022-03-13 01:02:12
200,Nago,26.5881,127.9761,73.83,71,11,10.87,JP,few clouds,2022-03-13 01:03:07
201,Guayaramerin,-10.8368,-65.3614,72.0,96,100,2.91,BO,overcast clouds,2022-03-13 01:03:08
202,Pevek,69.7008,170.3133,-6.59,97,97,2.55,RU,overcast clouds,2022-03-13 01:03:08
203,Ileza,61.0533,43.9002,26.46,98,100,3.69,RU,light snow,2022-03-13 01:03:08
204,Yermakovskoye,53.2831,92.4003,-2.42,98,98,1.86,RU,overcast clouds,2022-03-13 01:03:09
205,Ayagoz,47.9714,80.4392,30.65,98,100,4.7,KZ,snow,2022-03-13 01:03:09
206,Hovd,48.0056,91.6419,19.69,58,0,5.39,MN,clear sky,2022-03-13 01:03:09
207,Laurinburg,34.7741,-79.4628,35.82,38,0,14.97,US,clear sky,2022-03-13 01:03:10
208,Bambous Virieux,-20.3428,57.7575,79.21,85,70,10.47,MU,broken clouds,2022-03-13 01:03:10
209,Lata,40.1629,-8.3327,49.91,96,71,4.65,PT,broken clouds,2022-03-13 01:03:10
210,Necochea,-38.5473,-58.7368,60.55,60,6,11.88,AR,clear sky,2022-03-13 01:00:11
211,Belmonte,-15.8631,-38.8828,77.83,83,6,6.17,BR,clear sky,2022-03-13 01:03:11
212,Dargaville,-35.9333,173.8833,78.06,46,98,6.13,NZ,overcast clouds,2022-03-13 01:03:11
213,Punta Gorda,26.9298,-82.0454,60.84,63,7,17.0,US,clear sky,2022-03-13 01:03:12
214,Nandigama,16.7833,80.3,73.58,60,95,3.11,IN,overcast clouds,2022-03-13 01:03:12
215,Wewak,-3.5534,143.6268,84.85,70,100,5.28,PG,overcast clouds,2022-03-13 01:03:12
216,Kununurra,-15.7667,128.7333,87.78,74,21,3.44,AU,few clouds,2022-03-13 01:00:27
217,Zaraza,9.3503,-65.3245,78.28,69,84,8.25,VE,broken clouds,2022-03-13 01:03:13
218,Veraval,20.9,70.3667,78.15,40,0,6.44,IN,clear sky,2022-03-13 01:03:13
219,Ouesso,1.6136,16.0517,67.89,94,100,2.77,CG,overcast clouds,2022-03-13 01:03:14
220,Olafsvik,64.8945,-23.7142,37.02,63,100,18.77,IS,overcast clouds,2022-03-13 01:03:14
221,Haverfordwest,51.8017,-4.9691,48.06,84,100,11.01,GB,overcast clouds,2022-03-13 01:03:14
222,Dingle,10.9995,122.6711,83.25,75,90,5.75,PH,overcast clouds,2022-03-13 01:03:15
223,Tahe,52.3333,124.7333,18.81,73,93,1.88,CN,overcast clouds,2022-03-13 01:03:15
224,Coquimbo,-29.9533,-71.3436,62.85,83,0,6.26,CL,clear sky,2022-03-13 01:00:22
225,Ribeira Grande,38.5167,-28.7,57.72,63,6,15.41,PT,clear sky,2022-03-13 01:03:16
226,Paka,4.6374,103.4368,80.11,74,100,5.37,MY,overcast clouds,2022-03-13 01:03:16
227,Kyshtovka,56.555,76.6271,-14.66,100,72,5.79,RU,broken clouds,2022-03-13 01:03:16
228,Constantine,36.365,6.6147,44.01,93,75,2.3,DZ,broken clouds,2022-03-13 01:00:27
229,Hornepayne,49.2138,-84.7705,-0.02,96,100,5.32,CA,overcast clouds,2022-03-13 01:04:17
230,Broome,42.2506,-75.833,19.15,77,100,19.57,US,overcast clouds,2022-03-13 01:04:17
231,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.79,59,40,6.71,RU,scattered clouds,2022-03-13 01:03:22
232,Manhattan,40.7834,-73.9662,27.66,54,75,28.01,US,broken clouds,2022-03-13 01:01:06
233,Dezful,32.3811,48.4058,61.05,32,100,3.31,IR,overcast clouds,2022-03-13 01:04:17
234,Hervey Bay,-25.2986,152.8535,78.03,73,41,11.01,AU,scattered clouds,2022-03-13 01:04:18
235,Kruisfontein,-34.0033,24.7314,70.27,81,100,14.07,ZA,overcast clouds,2022-03-13 01:04:18
236,Inta,66.0317,60.1659,7.34,98,83,5.53,RU,broken clouds,2022-03-13 01:04:18
237,Marawi,7.9986,124.2928,78.13,74,31,1.19,PH,scattered clouds,2022-03-13 01:04:19
238,Arman,59.7,150.1667,21.02,66,100,8.1,RU,overcast clouds,2022-03-13 01:04:19
239,Port-Gentil,-0.7193,8.7815,80.38,79,100,12.86,GA,light rain,2022-03-13 01:04:19
240,Carutapera,-1.195,-46.02,75.24,91,100,4.63,BR,overcast clouds,2022-03-13 01:04:20
241,Maxixe,-23.8597,35.3472,72.9,84,26,5.26,MZ,scattered clouds,2022-03-13 01:04:20
242,Banikoara,11.2985,2.4386,85.08,18,69,4.68,BJ,broken clouds,2022-03-13 01:04:20
243,Santa,17.486,120.4348,83.01,90,47,1.41,PH,scattered clouds,2022-03-13 01:04:21
244,Waipawa,-41.4122,175.5153,60.06,59,14,13.44,NZ,few clouds,2022-03-13 01:04:21
245,Dudinka,69.4058,86.1778,-26.48,100,48,7.09,RU,scattered clouds,2022-03-13 01:04:21
246,Lodja,-3.4833,23.4333,67.01,99,100,0.34,CD,light rain,2022-03-13 01:04:22
247,Lompoc,34.6391,-120.4579,72.79,69,0,20.0,US,clear sky,2022-03-13 01:04:22
248,Copiapo,-27.3667,-70.3333,68.86,61,0,2.08,CL,clear sky,2022-03-13 01:00:33
249,La Ronge,55.1001,-105.2842,17.82,73,100,10.36,CA,overcast clouds,2022-03-13 01:04:23
250,Galesong,-5.3166,119.3661,82.42,74,78,3.76,ID,broken clouds,2022-03-13 01:04:23
251,Pisco,-13.7,-76.2167,68.02,91,99,3.29,PE,overcast clouds,2022-03-13 01:04:23
252,Grindavik,63.8424,-22.4338,32.47,93,75,11.5,IS,broken clouds,2022-03-13 01:04:24
253,Lander,42.833,-108.7307,45.41,39,0,29.93,US,clear sky,2022-03-13 01:04:24
254,Ridgecrest,35.6225,-117.6709,71.69,8,0,12.66,US,clear sky,2022-03-13 01:04:24
255,Krasnogorodsk,56.8357,28.2822,23.58,98,16,2.77,RU,few clouds,2022-03-13 01:04:25
